"Time","YAW_RATE","STEERING_TORQUE","ACCEL_Y","BRAKE_AMOUNT","BRAKE_PEDAL","ENCODER","SPEED","CHECKSUM","CRUISE_ACTIVE","GAS_RELEASED","STANDSTILL_ON","ACCEL_NET","CRUISE_STATE","CANCEL_REQ","MAIN_ON","LOW_SPEED_LOCKOUT","SET_SPEED","GAS_PEDAL","DISTANCE_LINES","CRUISE_CONTROL_STATE","UI_SET_SPEED","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","VIN_13","VIN_14","VIN_15","VIN_16","VIN_17","UNITS","ODOMETER","DOOR_OPEN_FL","DOOR_OPEN_FR","DOOR_OPEN_RR","DOOR_OPEN_RL","SEATBELT_DRIVER_UNLATCHED"
"s","deg/sec","","m/s^2","","","","kph","","","","","m/s2","","","","kph","kph","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.685","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.796","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15.891","","","","0","0","","","3","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.018","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.049","","","","","","","","3","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0"
"16.160","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.191","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.303","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.334","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.413","","","","","","","","4","","","","","","","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.460","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16.555","","","","","","96","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
